Country,Rank,Score,Latitude,Longitud
Afghanistan,141,3.79399991,33.9391,67.7099
Albania,109,4.644000053,41.1533,20.1683
Algeria,53,5.872000217,28.0338,1.6596
Angola,140,3.795000076,-11.2026,17.8738
Argentina,24,6.598999977,-38.416,-63.6166
Armenia,121,4.375999928,40.069,45.0381
Australia,10,7.28399992,-25.2743,133.7751
Austria,13,7.006000042,47.5162,14.55
Azerbaijan,85,5.234000206,40.1431,47.5769
Bahrain,41,6.086999893,26.0667,50.5577
Bangladesh,110,4.607999802,23.6849,90.3563
Belarus,67,5.568999767,53.7098,27.9533
Belgium,17,6.890999794,50.5038,4.4699
Belize,50,5.955999851,17.1898,-88.4976
Benin,143,3.657000065,9.3076,2.3158
Bhutan,97,5.011000156,27.5141,90.4336
Bolivia,58,5.822999954,-16.2901,-63.5886
Bosnia and Herzegovina,90,5.18200016,43.9158,17.679
Botswana,142,3.766000032,-22.3284,24.6848
Brazil,22,6.635000229,-14.235,-51.9252
Bulgaria,105,4.714000225,42.7338,25.4858
Burkina Faso,134,4.032000065,12.2383,-1.5615
Burundi,154,2.904999971,-3.373,29.9188
Cambodia,129,4.168000221,12.5656,104.9909
Cameroon,107,4.695000172,7.3697,12.3547
Canada,7,7.315999985,56.1303,-106.346
Central African Republic,155,2.693000078,6.6111,20.9394
Chad,137,3.936000109,15.4541,18.7322
Chile,20,6.65199995,-35.6751,-71.5429
China,79,5.272999763,35.8616,104.1953
Colombia,36,6.356999874,4.5708,-74.2973
Congo (Brazzaville),124,4.290999889,-0.228,15.8276
Congo (Kinshasa),126,4.28000021,-4.0383,21.7586
Costa Rica,12,7.078999996,9.7489,-83.7534
Croatia,77,5.293000221,45.1,15.2
Cyprus,65,5.620999813,34.7713,33.0864
Czech Republic,23,6.609000206,49.8174,15.4729
Denmark,2,7.521999836,56.2639,9.5017
Dominican Republic,86,5.230000019,18.7356,-70.1626
Ecuador,44,6.007999897,-1.8312,-78.183
Egypt,104,4.735000134,26.8205,30.8024
El Salvador,45,6.002999783,13.7941,-88.8965
Estonia,66,5.611000061,58.5952,25.0136
Ethiopia,119,4.460000038,9.145,40.4896
Finland,5,7.468999863,61.9241,25.7481
France,31,6.441999912,46.2276,2.2137
Gabon,118,4.465000153,-0.8036,11.6094
Georgia,125,4.285999775,32.1656,-82.9007
Germany,16,6.951000214,51.1656,10.4515
Ghana,131,4.119999886,7.9465,-1.0231
Greece,87,5.227000237,39.0742,21.8243
Guatemala,29,6.453999996,15.7834,-90.2307
Guinea,149,3.506999969,9.9455,-9.6966
Haiti,145,3.602999926,18.971187,-72.2852
Honduras,91,5.181000233,15.1999,-86.2419
"Hong Kong S.A.R., China",71,5.472000122,22.3964,114.1094
Hungary,75,5.323999882,47.1624,19.5033
Iceland,3,7.504000187,64.963,-19.0208
India,122,4.315000057,20.5936,78.9628
Indonesia,81,5.262000084,-0.7892,113.9513
Iran,108,4.691999912,32.4279,53.688
Iraq,117,4.497000217,33.2231,43.6729
Ireland,15,6.977000237,53.1423,-7.692
Israel,11,7.212999821,31.046,34.8516
Italy,48,5.964000225,41.8719,12.5673
Ivory Coast,128,4.179999828,7.5399,-5.547
Jamaica,76,5.31099987,18.1095,-77.2975
Japan,51,5.920000076,36.2048,138.2529
Jordan,74,5.335999966,31.0101,36.43
Kazakhstan,60,5.818999767,48.0195,66.9236
Kenya,112,4.552999973,-0.0235,37.9061
Kosovo,78,5.278999805,42.6026,20.9029
Kuwait,39,6.105000019,29.3116,47.4817
Kyrgyzstan,98,5.004000187,41.2043,74.766
Latvia,54,5.849999905,56.8796,24.6031
Lebanon,88,5.224999905,33.8547,35.8622
Lesotho,139,3.808000088,-29.6099,28.2336
Liberia,148,3.532999992,6.428,-9.4294
Libya,68,5.525000095,26.3351,17.2283
Lithuania,52,5.90199995,55.1694,23.8812
Luxembourg,18,6.862999916,49.8152,6.1295
Macedonia,92,5.175000191,41.6086,21.7452
Madagascar,144,3.644000053,-18.7669,46.8691
Malawi,136,3.970000029,-13.2543,34.3015
Malaysia,42,6.084000111,4.2104,101.9757
Mali,127,4.190000057,17.5706,-3.9961
Malta,27,6.52699995,35.9374,14.3754
Mauritania,123,4.291999817,21.0078,-10.9408
Mauritius,64,5.629000187,-20.3484,57.5521
Mexico,25,6.578000069,23.6345,-102.5527
Moldova,56,5.837999821,47.4116,28.3698
Mongolia,100,4.954999924,46.8624,103.8466
Montenegro,83,5.236999989,42.7086,19.3743
Morocco,84,5.235000134,31.7917,-7.0926
Mozambique,113,4.550000191,-18.6656,35.5295
Myanmar,114,4.545000076,21.9162,95.9559
Namibia,111,4.573999882,-22.9576,18.4904
Nepal,99,4.961999893,28.3948,84.124
Netherlands,6,7.376999855,52.1326,5.2912
New Zealand,8,7.31400013,-41.7523,173.438
Nicaragua,43,6.071000099,12.8654,-85.2072
Niger,135,4.027999878,17.6077,8.0816
Nigeria,95,5.073999882,9.0819,8.6752
North Cyprus,61,5.809999943,35.248,33.6577
Norway,1,7.537000179,59.913869,10.752245
Pakistan,80,5.269000053,30.3753,69.3451
Palestinian Territories,103,4.775000095,31.9521,35.2331
Panama,30,6.452000141,8.5379,-80.7821
Paraguay,70,5.493000031,-23.4425,-58.4438
Peru,63,5.715000153,-9.1899,-75.0151
Philippines,72,5.429999828,14.5995,120.984
Poland,46,5.97300005,51.9194,19.1451
Portugal,89,5.195000172,39.3998,-8.2244
Qatar,35,6.375,25.3648,51.1838
Romania,57,5.824999809,45.9431,24.9667
Russia,49,5.962999821,61.524,105.3187
Rwanda,151,3.470999956,-1.9402,29.8738
Saudi Arabia,37,6.343999863,23.8859,45.0791
Senegal,115,4.534999847,14.4974,-14.4523
Serbia,73,5.394999981,44.0165,21.0058
Sierra Leone,106,4.709000111,8.4605,-11.7798
Singapore,26,6.572000027,1.352,103.8198
Slovakia,40,6.09800005,48.669,19.699
Slovenia,62,5.757999897,46.1512,14.9954
Somalia,93,5.151000023,5.1521,46.1996
South Africa,101,4.828999996,-30.5594,22.9375
South Korea,55,5.837999821,35.9077,127.7669
South Sudan,147,3.59100008,6.8769,31.3069
Spain,34,6.402999878,40.4636,-3.7492
Sri Lanka,120,4.440000057,7.873,80.7717
Sudan,130,4.138999939,12.8628,30.2176
Sweden,9,7.28399992,60.1281,18.6435
Switzerland,4,7.493999958,46.8181,8.2275
Syria,152,3.461999893,34.802,38.9968
